epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,105.236,2.7797,3.15939,1.64409,2.16374,0,0.55712,0.7963,0.72791,0.2606,0.51317,0.64422,0.60996,0.25301,2.16843,3.58786,1.90355,1.88768,0,0.00148169,0.000493898,0.00148169,0.000493898,0.00148169,0.000493898,0.00148169,0.000493898
45,107.382,2.62891,2.92337,1.78869,2.13411,0,0.72186,0.64815,0.78029,0.27131,0.67967,0.58944,0.63775,0.26912,2.21028,3.54186,2.06165,1.89299,0,0.00149002,0.000496672,0.00149002,0.000496672,0.00149002,0.000496672,0.00149002,0.000496672
46,109.274,2.76173,3.29392,1.54322,2.22426,0,0.72186,0.64815,0.78029,0.27131,0.67967,0.58944,0.63775,0.26912,2.21028,3.54186,2.06165,1.89299,0,0.00149715,0.00049905,0.00149715,0.00049905,0.00149715,0.00049905,0.00149715,0.00049905
47,111.547,2.4839,3.12753,1.61279,2.08201,0,0.66115,0.79493,0.81942,0.25309,0.54548,0.57407,0.58732,0.24217,2.29966,3.49817,2.21172,1.90303,0,0.0015031,0.000501032,0.0015031,0.000501032,0.0015031,0.000501032,0.0015031,0.000501032
48,113.756,2.25992,2.9963,1.41669,1.99124,0,0.66115,0.79493,0.81942,0.25309,0.54548,0.57407,0.58732,0.24217,2.29966,3.49817,2.21172,1.90303,0,0.00150785,0.000502618,0.00150785,0.000502618,0.00150785,0.000502618,0.00150785,0.000502618
49,116.383,2.68425,2.97036,1.51471,2.13358,0,0.63432,0.771,0.79392,0.23658,0.50982,0.59259,0.55497,0.23667,2.34271,3.47538,2.41309,1.9158,0,0.00151142,0.000503808,0.00151142,0.000503808,0.00151142,0.000503808,0.00151142,0.000503808
50,118.781,2.56896,2.85089,1.53885,2.13635,0,0.63432,0.771,0.79392,0.23658,0.50982,0.59259,0.55497,0.23667,2.34271,3.47538,2.41309,1.9158,0,0.00151381,0.000504602,0.00151381,0.000504602,0.00151381,0.000504602,0.00151381,0.000504602
51,121.084,1.8616,2.50474,1.33538,1.6246,0,0.6397,0.7963,0.7756,0.22623,0.52323,0.61111,0.56748,0.22521,2.38995,3.45835,2.30071,1.92912,0,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
52,122.998,2.63172,3.0443,1.62556,2.18175,0,0.6397,0.7963,0.7756,0.22623,0.52323,0.61111,0.56748,0.22521,2.38995,3.45835,2.30071,1.92912,0,0.00151501,0.000505002,0.00151501,0.000505002,0.00151501,0.000505002,0.00151501,0.000505002
53,124.858,2.22439,2.74054,1.39861,1.85082,0,0.6397,0.7963,0.7756,0.22623,0.52323,0.61111,0.56748,0.22521,2.38995,3.45835,2.30071,1.92912,0,0.00151382,0.000504608,0.00151382,0.000504608,0.00151382,0.000504608,0.00151382,0.000504608
54,126.998,2.18226,2.57732,1.5454,1.89113,0,0.64718,0.7963,0.79636,0.21435,0.53841,0.5617,0.50649,0.20144,2.38797,3.4747,1.96545,1.93754,0,0.00151145,0.000503818,0.00151145,0.000503818,0.00151145,0.000503818,0.00151145,0.000503818
55,129.378,2.16339,3.02477,1.34253,1.91886,0,0.64718,0.7963,0.79636,0.21435,0.53841,0.5617,0.50649,0.20144,2.38797,3.4747,1.96545,1.93754,0,0.0015079,0.000502632,0.0015079,0.000502632,0.0015079,0.000502632,0.0015079,0.000502632
56,131.802,2.31963,2.99471,1.37688,1.9491,0,0.64718,0.7963,0.79636,0.21435,0.53841,0.5617,0.50649,0.20144,2.38797,3.4747,1.96545,1.93754,0,0.00150315,0.00050105,0.00150315,0.00050105,0.00150315,0.00050105,0.00150315,0.00050105
57,134.046,2.18083,2.68431,1.317,1.96772,0,0.67464,0.85185,0.82519,0.22759,0.50059,0.53704,0.47396,0.18809,2.37293,3.53366,1.90788,1.92744,0,0.00149722,0.000499072,0.00149722,0.000499072,0.00149722,0.000499072,0.00149722,0.000499072
58,136.015,1.98135,2.672,1.1699,1.80986,0,0.67464,0.85185,0.82519,0.22759,0.50059,0.53704,0.47396,0.18809,2.37293,3.53366,1.90788,1.92744,0,0.00149009,0.000496698,0.00149009,0.000496698,0.00149009,0.000496698,0.00149009,0.000496698
59,138.133,2.24121,2.98444,1.45008,1.90976,0,0.67464,0.85185,0.82519,0.22759,0.50059,0.53704,0.47396,0.18809,2.37293,3.53366,1.90788,1.92744,0,0.00148178,0.000493928,0.00148178,0.000493928,0.00148178,0.000493928,0.00148178,0.000493928
60,140.253,1.94149,2.74717,1.19595,1.76063,0,0.62882,0.87037,0.852,0.25892,0.55231,0.53704,0.49425,0.18678,2.28951,3.57568,1.75402,1.91375,0,0.00147229,0.000490762,0.00147229,0.000490762,0.00147229,0.000490762,0.00147229,0.000490762
61,142.312,1.77457,2.38498,1.30281,1.67283,0,0.62882,0.87037,0.852,0.25892,0.55231,0.53704,0.49425,0.18678,2.28951,3.57568,1.75402,1.91375,0,0.0014616,0.0004872,0.0014616,0.0004872,0.0014616,0.0004872,0.0014616,0.0004872
